Date,Family,Family ID,Tile Number,Recruit,Single/Clump,Survival,Area,Color,Orientation,Early Missing,Other Notes,"Large, juvenile? "
March,LSxBK,12,40,12.40.24,S,1,,,,,,
June,LSxBK,12,40,12.40.24,S,0,,,,,,
October,LSxBK,12,40,12.40.24,S,0,,,,,,
March,LSxBK,12,40,12.40.6,S,1,,,,,,
June,LSxBK,12,40,12.40.6,S,0,,,,,,
October,LSxBK,12,40,12.40.6,S,0,,,,,,
March,LSxBK,12,40,12.40.7,S,1,,,,,,
June,LSxBK,12,40,12.40.7,S,0,,,,,,
October,LSxBK,12,40,12.40.7,S,0,,,,,,
March,LSxBK,12,41,12.41.1,C,1,0.924,5,,,,
June,LSxBK,12,41,12.41.1,C,0,NA,0,,,,
October,LSxBK,12,41,12.41.1,C,0,NA,0,,,,
March,LSxBK,12,44,12.44.4,S,1,NA,NA,Front,,,
June,LSxBK,12,44,12.44.4,S,1,NA,NA,Front,,,
October,LSxBK,12,44,12.44.4,S,1,2.699,4,Back,,,
March,LSxBK,12,7,12.7.49,C,1,,,,,,
June,LSxBK,12,7,12.7.49,C,0,,,,,,
October,LSxBK,12,7,12.7.49,C,0,,,,,,
March,LSxBK,12,7,12.7.7,S,1,1.216,6,,,,
June,LSxBK,12,7,12.7.7,S,0,NA,0,,,,
October,LSxBK,12,7,12.7.7,S,0,NA,0,,,,
March,LSxBK,12,8,12.8.11,S,1,,,,,,
June,LSxBK,12,8,12.8.11,S,0,,,,,,
October,LSxBK,12,8,12.8.11,S,0,,,,,,
March,LSxBK,12,8,12.8.14,S,1,,,,,,
June,LSxBK,12,8,12.8.14,S,0,,,,,,
October,LSxBK,12,8,12.8.14,S,0,,,,,,
March,LSxBK,12,8,12.8.18,S,1,,,,,,
June,LSxBK,12,8,12.8.18,S,0,,,,,,
October,LSxBK,12,8,12.8.18,S,0,,,,,,
March,LSxBK,12,8,12.8.21,S,1,,,,,,
June,LSxBK,12,8,12.8.21,S,0,,,,,,
October,LSxBK,12,8,12.8.21,S,0,,,,,,
March,LSxBK,12,8,12.8.23,S,1,NA,NA,,Y,,
June,LSxBK,12,8,12.8.23,S,1,1.771,6,,,,
October,LSxBK,12,8,12.8.23,S,0,NA,0,,,,
March,LSxBK,12,9,12.9.1,S,1,0.542,6,,,,
June,LSxBK,12,9,12.9.1,S,0,NA,0,,,,
October,LSxBK,12,9,12.9.1,S,0,NA,0,,,,
March,LSxLS,13,1,13.1.5,S,1,NA,NA,,Y,,
June,LSxLS,13,1,13.1.5,S,1,1.942,6,,,,
October,LSxLS,13,1,13.1.5,S,0,NA,0,,,,
March,LSxLS,13,102,13.102.10,S,1,NA,NA,,Y,,
June,LSxLS,13,102,13.102.10,S,1,1.976,6,,,,
October,LSxLS,13,102,13.102.10,S,0,NA,0,,,,
March,LSxLS,13,103,13.103.8,S,1,NA,NA,,Y,,
June,LSxLS,13,103,13.103.8,S,1,2.847,3,,,,
October,LSxLS,13,103,13.103.8,S,1,1.454,4,,,,
March,LSxLS,13,105,13.105.1,S,1,0.417,5,,,,
June,LSxLS,13,105,13.105.1,S,0,NA,0,,,,
October,LSxLS,13,105,13.105.1,S,0,NA,0,,,,
March,LSxLS,13,106,13.106.10,S,1,0.854,6,,,,
June,LSxLS,13,106,13.106.10,S,1,1.291,6,,,,
October,LSxLS,13,106,13.106.10,S,0,NA,0,,,,
March,LSxLS,13,108,13.108.5,S,1,0.784,5,,,,
June,LSxLS,13,108,13.108.5,S,1,4.128,6,,,,
October,LSxLS,13,108,13.108.5,S,1,3.733,6,,,,
March,LSxLS,13,11,13.11.5,S,1,NA,NA,,Y,Cannot find in photo,
June,LSxLS,13,11,13.11.5,S,1,1.506,2,,,,
October,LSxLS,13,11,13.11.5,S,0,NA,0,,,,
March,LSxLS,13,11,13.11.6,S,1,NA,NA,,Y,,
June,LSxLS,13,11,13.11.6,S,1,NA,NA,,Y,,
October,LSxLS,13,11,13.11.6,S,D,1.934,2,,,,
March,LSxLS,13,112,13.112.2,S,1,1.617,5,,,,
June,LSxLS,13,112,13.112.2,S,0,NA,0,,,,
October,LSxLS,13,112,13.112.2,S,0,NA,0,,,,
March,LSxLS,13,116,13.116.14,S,1,1.418,5,,,,
June,LSxLS,13,116,13.116.14,S,0,NA,0,,,,
October,LSxLS,13,116,13.116.14,S,0,NA,0,,,,
March,LSxLS,13,12,13.12.8,S,1,0.946,5,,,,
June,LSxLS,13,12,13.12.8,S,0,NA,0,,,,
October,LSxLS,13,12,13.12.8,S,0,NA,0,,,,
March,LSxLS,13,120,13.120.14,C,1,,,,,,
June,LSxLS,13,120,13.120.14,C,0,,,,,,
October,LSxLS,13,120,13.120.14,C,0,,,,,,
March,LSxLS,13,120,13.120.23,C,1,,,,,,
June,LSxLS,13,120,13.120.23,C,0,,,,,,
October,LSxLS,13,120,13.120.23,C,0,,,,,,
March,LSxLS,13,120,13.120.31,S,1,1.261,6,,,,
June,LSxLS,13,120,13.120.31,S,0,NA,0,,,,
October,LSxLS,13,120,13.120.31,S,0,NA,0,,,,
March,LSxLS,13,120,13.120.36,S,1,,,,,,
June,LSxLS,13,120,13.120.36,S,0,,,,,,
October,LSxLS,13,120,13.120.36,S,0,,,,,,
March,LSxLS,13,120,13.120.38,S,1,,,,,,
June,LSxLS,13,120,13.120.38,S,0,,,,,,
October,LSxLS,13,120,13.120.38,S,0,,,,,,
March,LSxLS,13,120,13.120.39,S,1,,,,,,
June,LSxLS,13,120,13.120.39,S,0,,,,,,
October,LSxLS,13,120,13.120.39,S,0,,,,,,
March,LSxLS,13,120,13.120.40,C,1,,,,,,
June,LSxLS,13,120,13.120.40,C,0,,,,,,
October,LSxLS,13,120,13.120.40,C,0,,,,,,
March,LSxLS,13,120,13.120.93,S,1,,,,,,
June,LSxLS,13,120,13.120.93,S,0,,,,,,
October,LSxLS,13,120,13.120.93,S,0,,,,,,
March,LSxLS,13,122,13.122.110,C,1,,,,,,
June,LSxLS,13,122,13.122.110,C,0,,,,,,
October,LSxLS,13,122,13.122.110,C,0,,,,,,
March,LSxLS,13,122,13.122.12,C,1,,,,,,
June,LSxLS,13,122,13.122.12,C,0,,,,,,
October,LSxLS,13,122,13.122.12,C,0,,,,,,
March,LSxLS,13,122,13.122.158,C,1,,,,,,
June,LSxLS,13,122,13.122.158,C,0,,,,,,
October,LSxLS,13,122,13.122.158,C,0,,,,,,
March,LSxLS,13,122,13.122.159,C,1,,,,,,
June,LSxLS,13,122,13.122.159,C,0,,,,,,
October,LSxLS,13,122,13.122.159,C,0,,,,,,
March,LSxLS,13,122,13.122.161,C,1,,,,,,
June,LSxLS,13,122,13.122.161,C,0,,,,,,
October,LSxLS,13,122,13.122.161,C,0,,,,,,
March,LSxLS,13,122,13.122.42,C,1,,,,,,
June,LSxLS,13,122,13.122.42,C,0,,,,,,
October,LSxLS,13,122,13.122.42,C,0,,,,,,
March,LSxLS,13,122,13.122.69,C,1,,,,,,
June,LSxLS,13,122,13.122.69,C,0,,,,,,
October,LSxLS,13,122,13.122.69,C,0,,,,,,
March,LSxLS,13,123,13.123.17,S,1,1.265,6,,,,
June,LSxLS,13,123,13.123.17,S,0,NA,0,,,,
October,LSxLS,13,123,13.123.17,S,0,NA,0,,,,
March,LSxLS,13,123,13.123.56,S,1,,,,,,
June,LSxLS,13,123,13.123.56,S,0,,,,,,
October,LSxLS,13,123,13.123.56,S,0,,,,,,
March,LSxLS,13,123,13.123.57,S,1,1.162,5,,,,
June,LSxLS,13,123,13.123.57,S,0,NA,0,,,,
October,LSxLS,13,123,13.123.57,S,0,NA,0,,,,
March,LSxLS,13,124,13.124.11,S,1,0.94,6,,,,
June,LSxLS,13,124,13.124.11,S,0,NA,0,,,,
October,LSxLS,13,124,13.124.11,S,0,NA,0,,,,
March,LSxLS,13,124,13.124.15,C,1,,,,,,
June,LSxLS,13,124,13.124.15,C,0,,,,,,
October,LSxLS,13,124,13.124.15,C,0,,,,,,
March,LSxLS,13,124,13.124.34,C,1,,,,,,
June,LSxLS,13,124,13.124.34,C,0,,,,,,
October,LSxLS,13,124,13.124.34,C,0,,,,,,
March,LSxLS,13,124,13.124.48,C,1,,,,,,
June,LSxLS,13,124,13.124.48,C,0,,,,,,
October,LSxLS,13,124,13.124.48,C,0,,,,,,
March,LSxLS,13,124,13.124.50,C,1,,,,,,
June,LSxLS,13,124,13.124.50,C,0,,,,,,
October,LSxLS,13,124,13.124.50,C,0,,,,,,
March,LSxLS,13,125,13.125.12,C,1,,,,,,
June,LSxLS,13,125,13.125.12,C,0,,,,,,
October,LSxLS,13,125,13.125.12,C,0,,,,,,
March,LSxLS,13,128,13.128.27,C,1,,,,,,
June,LSxLS,13,128,13.128.27,C,0,,,,,,
October,LSxLS,13,128,13.128.27,C,0,,,,,,
March,LSxLS,13,128,13.128.5,C,1,,,,,,
June,LSxLS,13,128,13.128.5,C,0,,,,,,
October,LSxLS,13,128,13.128.5,C,0,,,,,,
March,LSxLS,13,13,13.13.27,S,1,,,,,,
June,LSxLS,13,13,13.13.27,S,0,,,,,,
October,LSxLS,13,13,13.13.27,S,0,,,,,,
March,LSxLS,13,13,13.13.28,S,1,,,,,,
June,LSxLS,13,13,13.13.28,S,0,,,,,,
October,LSxLS,13,13,13.13.28,S,0,,,,,,
March,LSxLS,13,13,13.13.30,S,1,,,,,,
June,LSxLS,13,13,13.13.30,S,0,,,,,,
October,LSxLS,13,13,13.13.30,S,0,,,,,,
March,LSxLS,13,13,13.13.37,C,1,,,,,,
June,LSxLS,13,13,13.13.37,C,0,,,,,,
October,LSxLS,13,13,13.13.37,C,0,,,,,,
March,LSxLS,13,13,13.13.38,C,1,,,,,,
June,LSxLS,13,13,13.13.38,C,0,,,,,,
October,LSxLS,13,13,13.13.38,C,0,,,,,,
March,LSxLS,13,13,13.13.49,S,1,1.424,5,,,,
June,LSxLS,13,13,13.13.49,S,0,NA,0,,,,
October,LSxLS,13,13,13.13.49,S,0,NA,0,,,,
March,LSxLS,13,13,13.13.50,S,1,,,,,,
June,LSxLS,13,13,13.13.50,S,0,,,,,,
October,LSxLS,13,13,13.13.50,S,0,,,,,,
March,LSxLS,13,13,13.13.52,S,1,,,,,,
June,LSxLS,13,13,13.13.52,S,0,,,,,,
October,LSxLS,13,13,13.13.52,S,0,,,,,,
March,LSxLS,13,13,13.13.59,S,1,,,,,,
June,LSxLS,13,13,13.13.59,S,0,,,,,,
October,LSxLS,13,13,13.13.59,S,0,,,,,,
March,LSxLS,13,13,13.13.60,S,1,NA,NA,Front,,,
June,LSxLS,13,13,13.13.60,S,1,NA,NA,Front,,,
October,LSxLS,13,13,13.13.60,S,1,5.572,6,Back,,,
March,LSxLS,13,131,13.131.4,S,1,1.391,6,,,,
June,LSxLS,13,131,13.131.4,S,0,NA,0,,,,
October,LSxLS,13,131,13.131.4,S,0,NA,0,,,,
March,LSxLS,13,131,13.131.5,S,1,NA,NA,,Y,,
June,LSxLS,13,131,13.131.5,S,1,2.475,2,,,,
October,LSxLS,13,131,13.131.5,S,0,NA,0,,,,
March,LSxLS,13,132,13.132.30,C,1,,,,,,
June,LSxLS,13,132,13.132.30,C,0,,,,,,
October,LSxLS,13,132,13.132.30,C,0,,,,,,
March,LSxLS,13,132,13.132.36,C,1,,,,,,
June,LSxLS,13,132,13.132.36,C,0,,,,,,
October,LSxLS,13,132,13.132.36,C,0,,,,,,
March,LSxLS,13,132,13.132.38,S,1,1.443,5,,,,
June,LSxLS,13,132,13.132.38,S,0,NA,0,,,,
October,LSxLS,13,132,13.132.38,S,0,NA,0,,,,
March,LSxLS,13,132,13.132.51,C,1,,,,,,
June,LSxLS,13,132,13.132.51,C,0,,,,,,
October,LSxLS,13,132,13.132.51,C,0,,,,,,
March,LSxLS,13,132,13.132.52,C,1,,,,,,
June,LSxLS,13,132,13.132.52,C,0,,,,,,
October,LSxLS,13,132,13.132.52,C,0,,,,,,
March,LSxLS,13,132,13.132.56,S,1,NA,NA,Front,,,
June,LSxLS,13,132,13.132.56,S,1,NA,NA,Front,,,
October,LSxLS,13,132,13.132.56,S,1,1.946,6,Back,,,
March,LSxLS,13,132,13.132.8,C,1,,,,,,
June,LSxLS,13,132,13.132.8,C,0,,,,,,
October,LSxLS,13,132,13.132.8,C,0,,,,,,
March,LSxLS,13,133,13.133.24,S,1,0.987,5,,,,
June,LSxLS,13,133,13.133.24,S,0,NA,0,,,,
October,LSxLS,13,133,13.133.24,S,0,NA,0,,,,
March,LSxLS,13,17,13.17.31,C,1,,,,,,
June,LSxLS,13,17,13.17.31,C,0,,,,,,
October,LSxLS,13,17,13.17.31,C,0,,,,,,
March,LSxLS,13,18,13.18.11,S,1,1.448,5,,,,
June,LSxLS,13,18,13.18.11,S,0,NA,0,,,,
October,LSxLS,13,18,13.18.11,S,0,NA,0,,,,
March,LSxLS,13,18,13.18.112,C,1,,,,,,
June,LSxLS,13,18,13.18.112,C,0,,,,,,
October,LSxLS,13,18,13.18.112,C,0,,,,,,
March,LSxLS,13,18,13.18.12,C,1,,,,,,
June,LSxLS,13,18,13.18.12,C,0,,,,,,
October,LSxLS,13,18,13.18.12,C,0,,,,,,
March,LSxLS,13,18,13.18.123,S,1,NA,NA,,Y,,
June,LSxLS,13,18,13.18.123,S,1,2.543,6,,,,
October,LSxLS,13,18,13.18.123,S,0,NA,0,,,,
March,LSxLS,13,18,13.18.3,C,1,,,,,,
June,LSxLS,13,18,13.18.3,C,0,,,,,,
October,LSxLS,13,18,13.18.3,C,0,,,,,,
March,LSxLS,13,18,13.18.57,C,1,,,,,,
June,LSxLS,13,18,13.18.57,C,0,,,,,,
October,LSxLS,13,18,13.18.57,C,0,,,,,,
March,LSxLS,13,20,13.20.4,C,1,,,,,,
June,LSxLS,13,20,13.20.4,C,0,,,,,,
October,LSxLS,13,20,13.20.4,C,0,,,,,,
March,LSxLS,13,21,13.21.145,S,1,,,,,,
June,LSxLS,13,21,13.21.145,S,0,,,,,,
October,LSxLS,13,21,13.21.145,S,0,,,,,,
March,LSxLS,13,21,13.21.25,S,1,,,,,,
June,LSxLS,13,21,13.21.25,S,0,,,,,,
October,LSxLS,13,21,13.21.25,S,0,,,,,,
March,LSxLS,13,21,13.21.36,S,1,,,,,,
June,LSxLS,13,21,13.21.36,S,0,,,,,,
October,LSxLS,13,21,13.21.36,S,0,,,,,,
March,LSxLS,13,21,13.21.38,S,1,,,,,,
June,LSxLS,13,21,13.21.38,S,0,,,,,,
October,LSxLS,13,21,13.21.38,S,0,,,,,,
March,LSxLS,13,21,13.21.52,C,1,,,,,,
June,LSxLS,13,21,13.21.52,C,0,,,,,,
October,LSxLS,13,21,13.21.52,C,0,,,,,,
March,LSxLS,13,21,13.21.53,C,1,,,,,,
June,LSxLS,13,21,13.21.53,C,0,,,,,,
October,LSxLS,13,21,13.21.53,C,0,,,,,,
March,LSxLS,13,21,13.21.54,C,1,,,,,,
June,LSxLS,13,21,13.21.54,C,0,,,,,,
October,LSxLS,13,21,13.21.54,C,0,,,,,,
March,LSxLS,13,21,13.21.55,C,1,,,,,,
June,LSxLS,13,21,13.21.55,C,0,,,,,,
October,LSxLS,13,21,13.21.55,C,0,,,,,,
March,LSxLS,13,21,13.21.56,S,1,,,,,,
June,LSxLS,13,21,13.21.56,S,0,,,,,,
October,LSxLS,13,21,13.21.56,S,0,,,,,,
March,LSxLS,13,21,13.21.57,C,1,,,,,,
June,LSxLS,13,21,13.21.57,C,0,,,,,,
October,LSxLS,13,21,13.21.57,C,0,,,,,,
March,LSxLS,13,21,13.21.58,S,1,,,,,,
June,LSxLS,13,21,13.21.58,S,0,,,,,,
October,LSxLS,13,21,13.21.58,S,0,,,,,,
March,LSxLS,13,21,13.21.59,C,1,,,,,,
June,LSxLS,13,21,13.21.59,C,0,,,,,,
October,LSxLS,13,21,13.21.59,C,0,,,,,,
March,LSxLS,13,23,13.23.148,S,1,1.904,5,,,,
June,LSxLS,13,23,13.23.148,S,0,NA,0,,,,
October,LSxLS,13,23,13.23.148,S,0,NA,0,,,,
March,LSxLS,13,23,13.23.149,S,1,,,,,,
June,LSxLS,13,23,13.23.149,S,0,,,,,,
October,LSxLS,13,23,13.23.149,S,0,,,,,,
March,LSxLS,13,23,13.23.154,C,1,,,,,,
June,LSxLS,13,23,13.23.154,C,0,,,,,,
October,LSxLS,13,23,13.23.154,C,0,,,,,,
March,LSxLS,13,23,13.23.155,C,1,,,,,,
June,LSxLS,13,23,13.23.155,C,0,,,,,,
October,LSxLS,13,23,13.23.155,C,0,,,,,,
March,LSxLS,13,23,13.23.156,S,1,,,,,,
June,LSxLS,13,23,13.23.156,S,0,,,,,,
October,LSxLS,13,23,13.23.156,S,0,,,,,,
March,LSxLS,13,23,13.23.157,C,1,,,,,,
June,LSxLS,13,23,13.23.157,C,0,,,,,,
October,LSxLS,13,23,13.23.157,C,0,,,,,,
March,LSxLS,13,23,13.23.160,C,1,,,,,,
June,LSxLS,13,23,13.23.160,C,0,,,,,,
October,LSxLS,13,23,13.23.160,C,0,,,,,,
March,LSxLS,13,23,13.23.171,S,1,,,,,,
June,LSxLS,13,23,13.23.171,S,0,,,,,,
October,LSxLS,13,23,13.23.171,S,0,,,,,,
March,LSxLS,13,25,13.25.18,C,1,,,,,,
June,LSxLS,13,25,13.25.18,C,0,,,,,,
October,LSxLS,13,25,13.25.18,C,0,,,,,,
March,LSxLS,13,25,13.25.19,C,1,,,,,,
June,LSxLS,13,25,13.25.19,C,0,,,,,,
October,LSxLS,13,25,13.25.19,C,0,,,,,,
March,LSxLS,13,25,13.25.21,C,1,,,,,,
June,LSxLS,13,25,13.25.21,C,0,,,,,,
October,LSxLS,13,25,13.25.21,C,0,,,,,,
March,LSxLS,13,25,13.25.23,C,1,,,,,,
June,LSxLS,13,25,13.25.23,C,0,,,,,,
October,LSxLS,13,25,13.25.23,C,0,,,,,,
March,LSxLS,13,25,13.25.29,C,1,,,,,,
June,LSxLS,13,25,13.25.29,C,0,,,,,,
October,LSxLS,13,25,13.25.29,C,0,,,,,,
March,LSxLS,13,25,13.25.43,C,1,,,,,,
June,LSxLS,13,25,13.25.43,C,0,,,,,,
October,LSxLS,13,25,13.25.43,C,0,,,,,,
March,LSxLS,13,25,13.25.50,S,1,,,,,,
June,LSxLS,13,25,13.25.50,S,0,,,,,,
OCtober,LSxLS,13,25,13.25.50,S,0,,,,,,
March,LSxLS,13,25,13.25.63,C,1,,,,,,
June,LSxLS,13,25,13.25.63,C,0,,,,,,
October,LSxLS,13,25,13.25.63,C,0,,,,,,
March,LSxLS,13,26,13.26.126,S,1,0.56,6,,,,
June,LSxLS,13,26,13.26.126,S,0,NA,0,,,,
October,LSxLS,13,26,13.26.126,S,0,NA,0,,,,
March,LSxLS,13,27,13.27.21,C,1,,,,,,
June,LSxLS,13,27,13.27.21,C,0,,,,,,
October,LSxLS,13,27,13.27.21,C,0,,,,,,
March,LSxLS,13,27,13.27.55,C,1,,,,,,
June,LSxLS,13,27,13.27.55,C,0,,,,,,
October,LSxLS,13,27,13.27.55,C,0,,,,,,
March,LSxLS,13,27,13.27.59,S,1,0.918,6,,,,
June,LSxLS,13,27,13.27.59,S,0,NA,0,,,,
October,LSxLS,13,27,13.27.59,S,0,NA,0,,,,
March,LSxLS,13,27,13.27.74,C,1,,,,,,
June,LSxLS,13,27,13.27.74,C,0,,,,,,
October,LSxLS,13,27,13.27.74,C,0,,,,,,
March,LSxLS,13,27,13.27.75,C,1,,,,,,
June,LSxLS,13,27,13.27.75,C,0,,,,,,
October,LSxLS,13,27,13.27.75,C,0,,,,,,
March,LSxLS,13,27,13.27.76,C,1,,,,,,
June,LSxLS,13,27,13.27.76,C,0,,,,,,
October,LSxLS,13,27,13.27.76,C,0,,,,,,
March,LSxLS,13,28,13.28.114,C,1,,,,,,
June,LSxLS,13,28,13.28.114,C,0,,,,,,
October,LSxLS,13,28,13.28.114,C,0,,,,,,
March,LSxLS,13,28,13.28.28,C,1,,,,,,
June,LSxLS,13,28,13.28.28,C,0,,,,,,
October,LSxLS,13,28,13.28.28,C,0,,,,,,
March,LSxLS,13,28,13.28.32,S,1,1.678,6,,,,
June,LSxLS,13,28,13.28.32,S,0,NA,0,,,,
October,LSxLS,13,28,13.28.32,S,0,NA,0,,,,
March,LSxLS,13,28,13.28.34,S,1,,,,,,
June,LSxLS,13,28,13.28.34,S,0,,,,,,
October,LSxLS,13,28,13.28.34,S,0,,,,,,
March,LSxLS,13,28,13.28.54,C,1,,,,,,
June,LSxLS,13,28,13.28.54,C,0,,,,,,
October,LSxLS,13,28,13.28.54,C,0,,,,,,
March,LSxLS,13,28,13.28.70,S,1,,,,,,
June,LSxLS,13,28,13.28.70,S,0,,,,,,
October,LSxLS,13,28,13.28.70,S,0,,,,,,
March,LSxLS,13,28,13.28.97,S,1,,,,,,
June,LSxLS,13,28,13.28.97,S,0,,,,,,
October,LSxLS,13,28,13.28.97,S,0,,,,,,
March,LSxLS,13,29,13.29.30,S,1,0.568,6,,,,
June,LSxLS,13,29,13.29.30,S,0,NA,0,,,,
October,LSxLS,13,29,13.29.30,S,0,NA,0,,,,
March,LSxLS,13,29,13.29.35,S,1,1.117,5,,,,
June,LSxLS,13,29,13.29.35,S,0,NA,0,,,,
October,LSxLS,13,29,13.29.35,S,0,NA,0,,,,
March,LSxLS,13,31,13.31.217,S,1,,,,,,
June,LSxLS,13,31,13.31.217,S,0,,,,,,
October,LSxLS,13,31,13.31.217,S,0,,,,,,
March,LSxLS,13,31,13.31.219,C,1,,,,,,
June,LSxLS,13,31,13.31.219,C,0,,,,,,
October,LSxLS,13,31,13.31.219,C,0,,,,,,
March,LSxLS,13,31,13.31.33,C,1,,,,,,
June,LSxLS,13,31,13.31.33,C,0,,,,,,
October,LSxLS,13,31,13.31.33,C,0,,,,,,
March,LSxLS,13,31,13.31.45,S,1,,,,,,
June,LSxLS,13,31,13.31.45,S,0,,,,,,
October,LSxLS,13,31,13.31.45,S,0,,,,,,
March,LSxLS,13,31,13.31.53,S,1,1.815,5,,,,
June,LSxLS,13,31,13.31.53,S,0,NA,0,,,,
October,LSxLS,13,31,13.31.53,S,0,NA,0,,,,
March,LSxLS,13,32,13.32.134,S,1,1.403,6,,,,
June,LSxLS,13,32,13.32.134,S,0,NA,0,,,,
October,LSxLS,13,32,13.32.134,S,0,NA,0,,,,
March,LSxLS,13,32,13.32.85,C,1,,,,,,
June,LSxLS,13,32,13.32.85,C,0,,,,,,
October,LSxLS,13,32,13.32.85,C,0,,,,,,
March,LSxLS,13,33,13.33.100,S,1,0.582,5,,,,
June,LSxLS,13,33,13.33.100,S,0,NA,0,,,,
October,LSxLS,13,33,13.33.100,S,0,NA,0,,,,
March,LSxLS,13,33,13.33.110,S,1,1.689,5,,,,
June,LSxLS,13,33,13.33.110,S,0,NA,0,,,,
October,LSxLS,13,33,13.33.110,S,0,NA,0,,,,
March,LSxLS,13,33,13.33.89,C,1,,,,,,
June,LSxLS,13,33,13.33.89,C,0,,,,,,
October,LSxLS,13,33,13.33.89,C,0,,,,,,
March,LSxLS,13,33,13.33.90,C,1,,,,,,
June,LSxLS,13,33,13.33.90,C,0,,,,,,
October,LSxLS,13,33,13.33.90,C,0,,,,,,
March,LSxLS,13,33,13.33.91,C,1,,,,,,
June,LSxLS,13,33,13.33.91,C,0,,,,,,
October,LSxLS,13,33,13.33.91,C,0,,,,,,
March,LSxLS,13,33,13.33.93,C,1,,,,,,
June,LSxLS,13,33,13.33.93,C,0,,,,,,
October,LSxLS,13,33,13.33.93,C,0,,,,,,
March,LSxLS,13,34,13.34.1,C,1,,,,,,
June,LSxLS,13,34,13.34.1,C,0,,,,,,
October,LSxLS,13,34,13.34.1,C,0,,,,,,
March,LSxLS,13,34,13.34.4,S,1,1.31,5,,,,
June,LSxLS,13,34,13.34.4,S,0,NA,0,,,,
October,LSxLS,13,34,13.34.4,S,0,NA,0,,,,
March,LSxLS,13,34,13.34.48,C,1,,,,,,
June,LSxLS,13,34,13.34.48,C,0,,,,,,
October,LSxLS,13,34,13.34.48,C,0,,,,,,
March,LSxLS,13,34,13.34.54,S,1,NA,NA,,Y,,
June,LSxLS,13,34,13.34.54,S,1,2.272,6,,,,
October,LSxLS,13,34,13.34.54,S,0,NA,0,,,,
March,LSxLS,13,35,13.35.31,C,1,,,,,,
June,LSxLS,13,35,13.35.31,C,0,,,,,,
October,LSxLS,13,35,13.35.31,C,0,,,,,,
March,LSxLS,13,35,13.35.45,C,1,,,,,,
June,LSxLS,13,35,13.35.45,C,0,,,,,,
October,LSxLS,13,35,13.35.45,C,0,,,,,,
March,LSxLS,13,35,13.35.8,C,1,3.582,4,,,,
June,LSxLS,13,35,13.35.8,C,1,3.353,6,,,,
October,LSxLS,13,35,13.35.8,C,0,NA,0,,,,
March,LSxLS,13,37,13.37.14,S,1,1.841,5,,,,
June,LSxLS,13,37,13.37.14,S,0,NA,0,,,,
October,LSxLS,13,37,13.37.14,S,0,NA,0,,,,
March,LSxLS,13,37,13.37.29,C,1,,,,,,
June,LSxLS,13,37,13.37.29,C,0,,,,,,
October,LSxLS,13,37,13.37.29,C,0,,,,,,
March,LSxLS,13,38,13.38.111,S,1,1.615,6,,,,
June,LSxLS,13,38,13.38.111,S,0,NA,0,,,,
October,LSxLS,13,38,13.38.111,S,0,NA,0,,,,
March,LSxLS,13,38,13.38.120,S,1,1.546,6,,,,
June,LSxLS,13,38,13.38.120,S,0,NA,0,,,,
October,LSxLS,13,38,13.38.120,S,0,NA,0,,,,
March,LSxLS,13,38,13.38.127,S,1,NA,NA,Front,,,
June,LSxLS,13,38,13.38.127,S,1,1.422,6,Back,,,
October,LSxLS,13,38,13.38.127,S,0,NA,0,,,,
March,LSxLS,13,38,13.38.35,S,1,1.183,5,,,,
June,LSxLS,13,38,13.38.35,S,0,NA,0,,,,
October,LSxLS,13,38,13.38.35,S,0,NA,0,,,,
March,LSxLS,13,38,13.38.41,S,1,,,,,,
June,LSxLS,13,38,13.38.41,S,0,,,,,,
October,LSxLS,13,38,13.38.41,S,0,,,,,,
March,LSxLS,13,38,13.38.6,C,1,,,,,,
June,LSxLS,13,38,13.38.6,C,0,,,,,,
October,LSxLS,13,38,13.38.6,C,0,,,,,,
March,LSxLS,13,38,13.38.65,S,1,,,,,,
June,LSxLS,13,38,13.38.65,S,0,,,,,,
October,LSxLS,13,38,13.38.65,S,0,,,,,,
March,LSxLS,13,38,13.38.80,S,1,,,,,,
June,LSxLS,13,38,13.38.80,S,0,,,,,,
October,LSxLS,13,38,13.38.80,S,0,,,,,,
March,LSxLS,13,38,13.38.9,C,1,,,,,,
June,LSxLS,13,38,13.38.9,C,0,,,,,,
October,LSxLS,13,38,13.38.9,C,0,,,,,,
March,LSxLS,13,38,13.38.93,C,1,,,,,,
June,LSxLS,13,38,13.38.93,C,0,,,,,,
October,LSxLS,13,38,13.38.93,C,0,,,,,,
March,LSxLS,13,39,13.39.100,S,1,,,,,,
June,LSxLS,13,39,13.39.100,S,0,,,,,,
October,LSxLS,13,39,13.39.100,S,0,,,,,,
March,LSxLS,13,39,13.39.103,C,1,,,,,,
June,LSxLS,13,39,13.39.103,C,0,,,,,,
October,LSxLS,13,39,13.39.103,C,0,,,,,,
March,LSxLS,13,39,13.39.105,C,1,,,,,,
June,LSxLS,13,39,13.39.105,C,0,,,,,,
October,LSxLS,13,39,13.39.105,C,0,,,,,,
March,LSxLS,13,39,13.39.106,C,1,,,,,,
June,LSxLS,13,39,13.39.106,C,0,,,,,,
October,LSxLS,13,39,13.39.106,C,0,,,,,,
March,LSxLS,13,39,13.39.107,S,1,,,,,,
June,LSxLS,13,39,13.39.107,S,0,,,,,,
October,LSxLS,13,39,13.39.107,S,0,,,,,,
March,LSxLS,13,39,13.39.108,C,1,,,,,,
